log_Mstar,log_Zstar,log_Zgas
12.568857,-1.5432951,-2.1124842
11.747251,-1.6723336,-2.0837297
11.797365,-1.5950481,-1.9502766
11.234395,-1.62044,-1.6821966
11.124962,-1.6980097,-1.8816679
11.283641,-1.6222249,-1.7716142
11.461457,-1.622804,-1.672822
11.374335,-1.5177636,-1.7867428
10.85454,-1.6490244,-2.108238
10.935229,-1.6081914,-1.6704147
10.631642,-1.7021455,-1.8823814
10.462939,-1.613986,-1.7066779
10.470769,-1.5986924,-1.7531646
10.644637,-1.6117882,-1.4786552
10.429575,-1.6387362,-1.4037284
10.126129,-1.7445742,-1.7767287
10.368124,-1.7264032,-1.367025
10.680395,-1.572147,-1.5319399
9.901703,-1.8305261,-1.943663
10.400193,-1.6022439,-1.5159492
10.024314,-1.6954062,-1.7552931
10.421563,-1.594242,-1.3860723
10.094246,-1.7383438,-1.6792363
10.447726,-1.6116894,-1.5383589
10.276752,-1.7395203,-1.6956555
9.902929,-1.7299691,-1.5970621
10.052556,-1.7344216,-1.519709
10.05595,-1.8181638,-1.857217
9.931292,-1.7472074,-1.7316033
10.289181,-1.6170404,-1.3828564
10.353761,-1.6380441,-1.5028749
10.263338,-1.6886612,-1.2487608
10.324773,-1.6528747,-1.5773816
9.511629,-1.8955946,-1.9488845
10.025756,-1.7119974,-1.4243866
9.584152,-1.8469954,-1.8249072
10.144077,-1.6526532,-1.386623
10.148219,-1.6822715,-1.5154965
10.024068,-1.699238,-1.5668148
9.801019,-1.7647015,-1.8130575
9.530179,-1.8635832,-1.5749482
9.766028,-1.7430311,-1.7448171
10.081691,-1.7821507,-1.7469779
10.24836,-1.6294258,-1.5347174
9.752617,-1.8799028,-1.8529332
9.347532,-1.8412468,-2.0348108
9.327151,-1.8547943,-2.0660343
9.550335,-1.868622,-1.8497361
9.490128,-1.8095407,-1.8054463
9.343326,-1.8673364,-1.870524
9.762242,-1.7684655,-1.7215734
8.709305,-2.1918476,-2.177677
9.140627,-2.0410082,-2.074236
9.570684,-1.8490167,-1.6351007
9.738094,-1.7845048,-1.626104
9.529001,-1.8595053,-1.62945
9.387317,-1.9460964,-1.9066303
10.024568,-1.7144586,-1.7189741
9.227,-2.0019002,-2.1240015
9.346871,-1.9231744,-1.5502484
9.024539,-1.9034947,-1.7006309
9.710862,-1.782068,-1.6349992
9.640719,-1.7580016,-1.8602097
8.977407,-2.1597319,-2.21937
9.6202965,-1.802348,-1.6328976
9.3487,-1.7866677,-1.8420097
9.290101,-1.7944893,-1.840582
9.100761,-1.9337268,-1.844793
9.885699,-1.7053906,-1.7288171
9.00387,-2.0529234,-2.1356707
9.455362,-1.8448259,-1.6809211
9.168628,-1.9514389,-1.7936237
9.067193,-1.9815937,-1.8682745
8.926563,-1.9908032,-1.909538
8.730142,-2.1324809,-1.9332821
9.509663,-1.8623651,-1.6750087
9.181177,-1.8882124,-1.7248378
8.56224,-2.0851195,-2.0020175
9.307105,-1.7962478,-1.7416751
8.722154,-2.1793618,-2.3025765
9.1489525,-1.9321563,-1.6977645
8.419615,-2.3836896,-2.463894
9.002079,-2.0734155,-1.9851066
8.001857,-2.4599786,-2.5401707
8.534368,-2.2910738,-2.0648632
8.041203,-2.5270023,-2.5234818
8.9358835,-1.9699489,-1.8063806
9.056276,-1.9546767,-1.9007435
8.183957,-2.4986312,-2.608604
8.593877,-2.2182589,-2.1360862
9.323807,-1.5143666,-1.4185108
8.011026,-2.4772203,-2.458623
8.61848,-2.2257013,-2.1797862
8.306642,-2.2895064,-2.2765543
8.320961,-2.4089205,-2.5895116
9.036984,-1.6022022,-1.4560262
9.214627,-1.4725887,-1.2382077
9.233232,-1.4801221,-1.2086651
9.084674,-1.4847583,-1.3520588
8.372526,-2.1300426,-2.1773508
8.63667,-1.8125416,-1.6480126
8.0492325,-1.947579,-1.9072417
8.216189,-1.9707639,-1.9097819
12.358971,-1.6790314,-2.3597426
11.896959,-1.5271118,-1.5472145
11.78149,-1.6380066,-1.9221646
11.18821,-1.5019723,-1.893862
11.179902,-1.6409256,-2.073481
10.841575,-1.5736696,-1.9729767
9.853582,-1.7936003,-1.7326987
10.682459,-1.655389,-1.5948685
10.467007,-1.6590521,-1.7297778
10.322762,-1.6698865,-1.5240916
10.585561,-1.6201108,-1.3429385
10.224962,-1.6973443,-1.3595567
10.276158,-1.6564507,-1.5314943
10.163855,-1.6693016,-1.3702422
10.152264,-1.6537021,-1.4095106
9.674966,-1.8738703,-1.9070153
9.726851,-1.7883636,-1.769
9.71114,-1.8251588,-1.5069898
9.295185,-2.0295947,-2.0625396
9.865306,-1.8173382,-1.6746055
9.690733,-1.8280098,-2.1283424
9.240739,-2.0617378,-2.0102425
9.543425,-1.826567,-1.7595236
9.768547,-1.7546804,-1.5011668
9.985064,-1.5819669,-1.5315133
9.479401,-1.861076,-1.9117908
9.407109,-2.0335798,-1.7504466
9.292621,-1.9284174,-1.8476952
9.260291,-1.7695247,-1.5705557
9.626093,-1.7508605,-1.7451053
8.808592,-2.164247,-2.3906584
9.084573,-1.990066,-2.0090904
8.836424,-2.0813093,-2.0038102
8.934732,-2.0446024,-2.1136694
9.479675,-1.9120765,-1.7032743
8.869725,-2.0939903,-2.0800362
9.100166,-1.9899123,-1.8877765
9.882702,-1.2621552,-1.1279572
9.193177,-1.8958405,-1.6990539
8.774047,-1.9622929,-1.7970294
8.472436,-2.0946965,-2.0618985
8.397351,-2.3628037,-2.3540845
8.256067,-2.3548248,-2.2719133
8.427816,-2.1803334,-2.1671503
8.359083,-2.2471442,-2.078187
12.452369,-1.6558987,-2.2435236
11.750918,-1.4634545,-1.4867916
10.950738,-1.6345446,-2.0681698
10.942254,-1.5856866,-1.6972752
10.746707,-1.6458855,-1.9534724
10.753327,-1.7122815,-1.8089193
10.0602045,-1.8203074,-1.7881684
10.264377,-1.6533666,-1.4584848
9.785809,-1.7683071,-1.6508199
10.013016,-1.752755,-1.45082
9.440964,-1.9571245,-1.9197162
9.917587,-1.6978273,-1.4271139
9.842885,-1.7487313,-1.4309003
10.201032,-1.6394235,-1.4697757
9.544961,-1.8482292,-1.5274713
9.792584,-1.7635525,-1.5199698
9.617698,-1.8327909,-1.6820571
10.174859,-1.6577215,-1.4954884
9.817376,-1.8248385,-1.7507757
9.384615,-1.8840003,-1.6023747
9.414554,-1.9825014,-1.8670433
9.136323,-2.0337474,-2.066237
9.454484,-1.8597617,-1.7662374
9.691101,-1.8049642,-1.6161742
9.400024,-1.8435512,-1.6376302
9.008419,-1.956716,-1.8725816
9.299163,-1.9336643,-1.8652489
8.387989,-2.2173572,-2.3140938
8.63992,-2.1322918,-2.0111337
8.24989,-2.2198353,-2.2076025
9.595218,-1.3909138,-1.3284101
9.153498,-1.5067992,-1.5917126
9.033011,-1.6237658,-1.4114662
8.767409,-1.5816736,-1.3602563
8.814488,-1.5614368,-1.5292169
12.153704,-1.6350431,-1.8459321
11.923765,-1.628743,-1.803083
11.5133295,-1.6231413,-2.0010965
11.424741,-1.6079856,-2.0832086
11.824697,-1.6197652,-1.882142
11.135232,-1.6042123,-2.0563838
11.008816,-1.6719803,-1.7943046
11.138211,-1.5722556,-1.990807
10.375601,-1.6100177,-1.6313238
10.899865,-1.6207193,-1.9583589
10.347695,-1.6907867,-1.6176318
10.65201,-1.5862771,-1.7705559
10.202784,-1.6794841,-1.833816
10.664075,-1.5897633,-1.5274965
10.249002,-1.7317097,-1.6950966
10.340611,-1.7318664,-1.6053783
10.21931,-1.7140082,-1.6688349
10.499863,-1.6300921,-1.3312868
10.704964,-1.4166342,-1.7758725
10.475989,-1.6367764,-1.5994201
10.257064,-1.6803563,-1.3839309
9.836948,-1.7404364,-1.751133
9.70677,-1.785465,-1.770885
10.397543,-1.5344373,-1.6664767
10.051326,-1.6954011,-1.4672557
9.705802,-1.8095111,-1.80631
10.046177,-1.6599228,-1.5387639
10.073776,-1.7040308,-1.6283451
9.623019,-1.8207512,-1.9177724
9.983953,-1.6958649,-1.4240674
9.309464,-1.8863151,-1.9902582
9.789044,-1.8632162,-1.684604
9.55637,-1.9695714,-2.0794704
9.500597,-1.77639,-1.653628
9.891465,-1.7011551,-1.7723334
9.37534,-1.9038818,-1.7762855
9.3019905,-2.0161185,-1.9099599
9.766337,-1.8662409,-1.8420184
9.3687,-1.864354,-1.7855122
9.359589,-2.0306234,-2.0549905
9.452064,-1.8429291,-1.7414987
9.676203,-1.816498,-1.7371755
9.33536,-2.0203311,-2.097604
8.938898,-2.142266,-2.2932045
9.911371,-1.6936251,-1.3508022
9.221406,-1.9255494,-1.8258688
9.532541,-1.8552854,-1.7508769
8.750933,-2.1645753,-2.2457016
9.565505,-1.8586518,-1.8092564
9.221656,-1.8259244,-1.8173245
8.590653,-2.1512809,-2.148909
8.8024645,-2.1329956,-2.2628703
9.631852,-1.7203174,-1.6428612
8.86835,-2.0082645,-2.1307688
8.742254,-2.177696,-2.3059888
8.290432,-2.1765473,-2.343185
8.540902,-2.1502275,-2.1153712
8.656589,-2.0318944,-1.9242597
8.735007,-2.1937728,-2.1252131
9.341227,-1.8379034,-1.5554156
9.095121,-2.007151,-2.0199056
8.557842,-2.1260526,-2.2418318
9.508102,-1.7293738,-1.647505
8.478907,-2.1172645,-2.1175506
9.1304655,-1.941059,-1.8990287
8.270616,-2.330495,-2.3001456
8.551185,-2.1691136,-2.2864182
8.2561865,-2.2944784,-2.3242342
8.769308,-2.08145,-1.98132
8.484371,-2.148351,-2.2438002
8.524281,-2.2687926,-2.019433
8.391418,-2.2438014,-2.2241704
8.30327,-2.3501308,-2.3051217
9.632611,-1.3139641,-1.1438525
8.452043,-2.2578282,-2.013717
8.057018,-2.4031918,-2.4837542
8.45595,-1.9796327,-1.9555637
8.019939,-2.374841,-2.3049042
8.244101,-2.2123895,-2.1856973
9.066422,-1.6516637,-1.4672357
8.849355,-1.9942786,-1.7515829
9.1238,-1.5282377,-1.2496109
9.217388,-1.5404786,-1.4950469
8.939997,-1.6037958,-1.3420283
8.869105,-1.5720917,-1.3488135
8.183012,-1.9338882,-1.8931686
8.711869,-1.7106979,-1.5304322
8.421227,-1.8313074,-1.7372515
8.55685,-1.8947003,-1.7393737
8.585661,-1.716119,-1.623936
8.500034,-1.7884865,-1.6529666
8.459214,-1.9345747,-1.8620123
8.080532,-1.8501416,-1.7949487
8.152293,-1.8950298,-1.7906172
8.141712,-1.7996187,-1.7317882
12.080023,-1.6624842,-2.3443289
11.711511,-1.5594014,-2.10075
11.622407,-1.6130594,-1.720071
11.182134,-1.6283898,-1.7810577
10.850187,-1.6531132,-1.8258014
10.648777,-1.6226004,-1.653037
10.594781,-1.7137275,-1.6188312
10.549003,-1.6211735,-1.5955205
10.004637,-1.7414322,-1.6795871
10.224385,-1.6563791,-1.2341001
9.881289,-1.7611415,-1.7316953
10.409892,-1.4532526,-1.176251
8.980684,-2.148829,-2.0703645
9.512308,-1.8248888,-1.6935139
9.894542,-1.7128083,-1.5641435
8.458328,-2.2758663,-2.36872
9.617602,-1.8731571,-1.4883679
8.739209,-2.0194747,-2.0703056
9.302032,-2.0077603,-1.9808056
9.571665,-1.8380501,-1.7234517
9.279656,-1.9040567,-1.7803249
9.6797495,-1.696322,-1.6340259
9.113911,-1.8113607,-1.7306998
9.429902,-1.8034174,-1.6847998
9.048205,-2.019686,-1.9752611
8.637355,-2.0332978,-1.9181206
9.535868,-1.8012824,-1.7459769
8.679795,-2.0125253,-2.0243819
8.872711,-2.127073,-1.95735
9.476194,-1.7200297,-1.6860021
8.558746,-2.1521018,-2.1611898
8.156002,-2.3542604,-2.4332945
8.225748,-2.2082267,-2.0876849
8.163762,-2.3292801,-2.2564402
9.175768,-1.4723942,-1.374661
8.327915,-1.9135275,-1.8750646
8.551415,-1.9426587,-1.8699734
8.713412,-1.6202527,-1.5132307
8.511563,-1.7458297,-1.5293424
8.126325,-1.9399155,-1.9071357
8.021187,-1.9450164,-1.8531814
8.028295,-1.9167334,-1.7853858
12.127391,-1.6066521,-2.3245692
11.434965,-1.6258919,-1.9776257
11.273298,-1.6527424,-1.742074
11.027954,-1.592007,-1.7440525
10.87484,-1.5246384,-1.8812985
11.107637,-1.5745761,-1.8483676
10.770531,-1.7374451,-1.7519279
10.785752,-1.6472546,-1.7631106
10.936264,-1.6209221,-1.8591431
10.557643,-1.6417645,-1.3379743
10.065886,-1.7309084,-1.5704031
9.906894,-1.733423,-1.6959492
9.666656,-1.8345585,-1.723907
9.82466,-1.746764,-1.5385921
9.58266,-2.043056,-1.5603992
9.525864,-1.9489415,-1.7221406
9.830599,-1.7350966,-1.3830732
9.926755,-1.7097541,-1.433656
9.997931,-1.7352489,-1.6557394
9.341613,-1.8487148,-1.6562718
9.369244,-2.06184,-2.028511
9.41519,-2.0192046,-1.977007
9.382282,-1.947554,-1.969023
9.524438,-1.8122278,-1.5758919
9.264719,-1.9181782,-1.9787655
9.315368,-1.9012849,-1.8692997
8.897607,-2.1440787,-2.2441337
9.337741,-1.9380108,-1.964081
9.035902,-2.0400069,-1.7709953
8.659681,-2.1963043,-2.4529757
9.103808,-2.0202994,-1.9785782
9.1058855,-2.0017226,-1.9085099
9.355437,-1.9058353,-1.7047592
8.964834,-1.9501299,-1.7166952
9.027647,-2.0537174,-1.9430199
9.436174,-1.8581858,-1.7984701
8.618811,-2.1122212,-2.0781934
9.06946,-1.9677705,-1.811107
8.62581,-2.203331,-2.2761707
9.238956,-1.9071122,-1.7678608
8.499047,-2.1640477,-2.2032642
8.78572,-2.0803442,-1.9544421
8.000792,-2.3080113,-2.3505216
8.748053,-2.1768074,-2.1769023
8.650951,-2.1179962,-1.8671954
8.238856,-2.2538311,-2.289215
8.336112,-2.2560565,-2.2075737
8.532447,-2.1783216,-1.8302993
9.043331,-1.9591637,-1.7655909
8.14104,-1.9243983,-1.8290637
8.019426,-2.0325537,-1.9529557
12.347366,-1.5910976,-2.217017
11.63242,-1.6471573,-1.9982584
10.587168,-1.6166253,-1.5047244
10.837361,-1.5672827,-1.8486159
10.502145,-1.588674,-1.5748352
10.353421,-1.6167313,-1.6560526
10.411144,-1.6162783,-1.3657407
9.975855,-1.8104815,-1.7662392
10.5395155,-1.5110548,-1.9594296
10.1221075,-1.6850468,-1.2408303
10.20613,-1.6388078,-1.4232057
9.589333,-1.8662105,-1.8487442
9.982656,-1.7196858,-1.5843769
9.475311,-1.8350862,-1.8629177
9.804704,-1.7597996,-1.5980316
9.677169,-1.8022307,-1.7175386
9.645171,-1.8328016,-1.4966917
9.485128,-1.8188494,-1.6426699
9.072323,-2.0349264,-2.0770073
8.690149,-2.1285994,-2.1856031
9.716652,-1.8527678,-1.5908837
8.763487,-2.051506,-1.9909223
8.619045,-2.1076832,-2.0758188
8.174832,-2.3214848,-2.4266915
8.259172,-2.3067372,-2.2053642
9.08053,-2.0089118,-1.8600136
8.61525,-2.2078037,-1.9658984
8.132271,-1.9976403,-1.9557322
8.134284,-1.9112101,-1.839237
8.609284,-1.7905295,-1.6495967
8.652276,-1.619594,-1.3743494
11.978677,-1.6530584,-2.290428
11.956363,-1.6212718,-2.1845944
11.733918,-1.6557376,-1.7870913
11.615099,-1.6489581,-2.0560987
10.882487,-1.6144326,-2.021609
10.809818,-1.6879345,-1.8623773
10.798516,-1.6671047,-1.6971557
10.940902,-1.6378957,-2.0442233
10.76952,-1.5619324,-1.4425615
10.45686,-1.6094241,-1.7514528
10.420058,-1.7170968,-1.6498648
10.006438,-1.6909994,-1.5285366
10.500928,-1.6026638,-1.517192
9.650784,-1.8164008,-1.6484147
10.029109,-1.7233081,-1.6867349
10.150316,-1.6782289,-1.4388045
10.011249,-1.7290056,-1.709998
10.241068,-1.6296726,-1.4865267
9.76409,-1.7298491,-1.699011
9.825032,-1.7805202,-1.6364374
9.967688,-1.8234129,-1.7981123
9.933974,-1.7141026,-1.5275043
9.824057,-1.7857671,-1.7563815
10.0224085,-1.6790863,-1.4313674
9.733778,-1.8943148,-1.8430152
10.224686,-1.6138706,-1.4501472
9.494051,-1.8974403,-1.7942646
9.462612,-1.960408,-1.9847318
9.391982,-1.895578,-1.906231
9.623222,-1.8563464,-1.860785
9.283382,-1.933489,-1.756108
9.249495,-1.8251714,-1.9339203
9.335913,-1.7456219,-1.6491451
9.419451,-1.8815994,-1.6233912
8.897387,-2.0257697,-2.0665832
9.263791,-1.9427692,-1.7950928
9.0240555,-2.0931242,-2.0698385
8.406821,-2.1231792,-2.1612415
9.25048,-2.0029194,-1.8862435
9.258786,-1.9116796,-1.9168025
9.517013,-1.8204173,-1.6532513
8.938605,-2.0206194,-2.0126338
9.424132,-1.8989365,-1.6602273
8.574138,-2.2659962,-2.2983582
8.357438,-2.2541552,-2.3308146
9.071797,-2.0786602,-1.8449719
8.57869,-2.1580665,-2.2501495
9.07159,-1.9856364,-1.7850121
