SubhaloID,StellarMass,GasMass,SFR,GasMetallicity,StarMetallicity
15,71538480000.0,9751864000.0,0.013021496,0.007794033,0.022437561
18,86144800000.0,2274733000.0,0.017469922,0.021359218,0.024649533
20,42819490000.0,38450876000.0,0.46135437,0.013110479,0.019854302
24,29036093000.0,57674007000.0,3.5962365,0.01964817,0.024322826
29,29564340000.0,5399790000.0,0.059434626,0.017653687,0.025194613
32,44120072000.0,4256160300.0,0.45162132,0.033215817,0.024446232
36,26888974000.0,4361327000.0,0.42312476,0.039470416,0.022975437
41,47906505000.0,13755481000.0,7.7620635,0.02938057,0.026782619
43,25130009000.0,10109716000.0,1.854935,0.03048252,0.02498942
50,26397444000.0,3302426400.0,0.33902478,0.04110814,0.02545412
52,28036592000.0,5082517500.0,0.5442667,0.028949508,0.02445179
17200,69434320000.0,2204218000.0,0.0005194679,0.010642007,0.026688889
17211,48134640000.0,19410952000.0,2.5739636,0.025417428,0.022111136
17214,29309297000.0,19876006000.0,2.2331882,0.018630402,0.021925418
17216,38508786000.0,5252747000.0,1.6719993,0.045400593,0.023982221
31345,89276540000.0,60566670000.0,0.058041815,0.0085473275,0.02319826
31348,87549590000.0,11990093000.0,0.5575098,0.020078206,0.025960531
31350,55809360000.0,18465968000.0,0.012087241,0.011130837,0.022600317
31357,56666600000.0,68382413000.0,2.3663387,0.015526755,0.019396286
41599,79408090000.0,1558755800.0,0.030561218,0.011006298,0.023948638
41601,44875485000.0,13626303000.0,0.02688467,0.016960714,0.025925253
41604,46139580000.0,5148354600.0,4.122977,0.029682718,0.02571798
41616,31612680000.0,3815612000.0,1.7340168,0.046635136,0.023437314
41619,50694775000.0,2937637400.0,3.015444,0.016754348,0.03831474
41620,29921876000.0,5740783600.0,1.1630615,0.025152436,0.02307935
52625,70825116000.0,75203670000.0,1.1075877,0.0149347745,0.022227304
52630,44542603000.0,19539702000.0,1.0952549,0.022231208,0.02384513
52631,39335070000.0,37425635000.0,5.001153,0.024052981,0.019331811
52635,35399885000.0,4396384000.0,1.7925327,0.0253793,0.023923604
52652,25697550000.0,325279420.0,0.36792198,0.06664215,0.03521661
60740,74961805000.0,6909179400.0,0.0053981147,0.013143211,0.0298787
60744,58956382000.0,64120246000.0,2.3700662,0.017704032,0.018304374
60748,61059285000.0,35144200000.0,2.053692,0.017253986,0.022529181
60749,86350290000.0,8776455000.0,0.9388597,0.013831107,0.023937456
60754,36111213000.0,6829833700.0,0.5323009,0.045922525,0.02281579
69513,38651515000.0,25321322000.0,1.0068414,0.031280648,0.024175465
69520,68764070000.0,459231550.0,0.4968935,0.014170465,0.02708429
69526,31779283000.0,6099159000.0,3.1487834,0.026617358,0.025782568
69531,25771730000.0,1135134000.0,0.09045881,0.043078385,0.024194784
69536,34634936000.0,720683260.0,0.38315973,0.010979196,0.030827997
